language_group,source_file,docid,title,country,incomegroup,year,link,rag_complete,bb_info,bb_info_conf,bb_info_evidence,bb_info_stage,bb_structped,bb_structped_conf,bb_structped_evidence,bb_structped_stage,bb_targeted,bb_targeted_conf,bb_targeted_evidence,bb_targeted_stage,bb_parentstim,bb_parentstim_conf,bb_parentstim_evidence,bb_parentstim_stage,bb_preprimary,bb_preprimary_conf,bb_preprimary_evidence,bb_preprimary_stage,bb_travel,bb_travel_conf,bb_travel_evidence,bb_travel_stage,bb_merit,bb_merit_conf,bb_merit_evidence,bb_merit_stage,bb_deworm,bb_deworm_conf,bb_deworm_evidence,bb_deworm_stage
English,nep_counted_llm_rag_full.dta,138.0,Strategic action plan for the development of higher education in Afghanistan,Afghanistan,Low income,2004,http://planipolis.iiep.unesco.org/en/2004/strategic-action-plan-development-higher-education-afghanistan-4635,1,0,0.9,,triage,0,0.9,,triage,0,0.3,"""introduce percentage of mohe ihe supplementary instruction for 500 000 04 08 medium disadvantaged students mosw the academically challenged covered""",verify,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,521.0,Ministry of Higher Education strategic development plan,Afghanistan,Low income,2005,http://planipolis.iiep.unesco.org/en/2005/ministry-higher-education-strategic-development-plan,1,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage,0,0.9,,triage,0,0.9,,triage,1,1.0,pilot scholarships in selected fields for meritorious students admitted to private institutions in which the educational outcome is of special value,verify,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,366.0,Education sector strategy for the Afghanistan National Development Strategy (with focus on prioritization): draft,Afghanistan,Low income,2007,http://planipolis.iiep.unesco.org/en/2007/education-sector-strategy-afghanistan-national-development-strategy-focus-prioritization-draft,1,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage,0,0.1,opportunities for pre primary education in afghanistan are extremely limited but the ministry recognizes that early childhood development experiences are critical,verify,0,0.9,,triage,0,0.9,,triage,0,0.1,introduce merit based recruitment and progression as part of the implementation of prr and pay and grading reforms,verify,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,419.0,National education strategic plan for Afghanistan 1385-1389 [2007-2011],Afghanistan,Low income,2007,http://planipolis.iiep.unesco.org/en/2007/national-education-strategic-plan-afghanistan-1385-1389-2007-2011-3718,1,0,0.9,,triage,0,0.6,3 30 adapt the curriculum and teacher guides for accelerated learning classes cost included in program 4 curriculum development and learning materials,verify,0,0.95,,triage,0,0.9,,triage,0,0.65,the ttcs will provide the main support for pre service teacher training for pre primary,verify,0,0.9,,triage,0,0.6,provide various scholarships for its academic and technical staff to obtain masters degrees,verify,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,17.0,National higher education strategic plan 2010-2014,Afghanistan,Low income,2009,http://planipolis.iiep.unesco.org/en/2009/national-higher-education-strategic-plan-2010-2014-4863,1,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage,0,0.9,,triage,0,0.9,,triage,1,0.9,the mohe will award cash prizes to the five o id eacher tstanding researchers each year,verify,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,304.0,National Education Interim Plan 1390-1392/2011-2013 NEIP,Afghanistan,Low income,2011,http://planipolis.iiep.unesco.org/en/2011/national-education-interim-plan-1390-13922011-2013-neip-5133,1,0,0.9,,triage,0,0.9,,triage,0,1.0,,verify,0,0.9,,triage,1,0.95,plans are also in place for preschool teacher education,verify,0,1.0,,triage,0,0.9,,triage,0,0.9,,triage
English,nep_counted_llm_rag_full.dta,124.0,Proposal to the Global Partnership for Education (GPE) for a catalytic contribution towards implementation of Afghanistan’s Education Interim Plan (EIP): programme document,Afghanistan,Low income,2011,http://planipolis.iiep.unesco.org/en/2011/proposal-global-partnership-education-gpe-catalytic-contribution-towards-implementation,1,0,0.9,,triage,0,0.9,,triage,0,0.15,alternative approaches allow the flexibility necessary to tailor solutions to local realities the three selected approaches community based education cbe accelerated learning programmes alp and mosque based education,verify,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage,0,0.9,,triage
English,nep_counted_llm_rag_full.dta,128.0,National Literacy Action Plan 1391- 1394 [2012-2015] (NLAP),Afghanistan,Low income,2012,http://planipolis.iiep.unesco.org/en/2012/national-literacy-action-plan-1391-1394-2012-2015-nlap-6279,1,0,0.9,,triage,0,0.9,,triage,0,0.6,the programme packages will be developed in a sequential manner so that the learners can gradually move forward and learn at their own pace,verify,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage,0,0.9,,triage
English,nep_counted_llm_rag_full.dta,39.0,The National Technical and Vocational Education and Training Strategy (NTVETS) for Afghanistan 2013-2018,Afghanistan,Low income,2013,http://planipolis.iiep.unesco.org/en/2013/national-technical-and-vocational-education-and-training-strategy-ntvets-afghanistan-2013-2018,1,0,0.9,,triage,0,0.0,,verify_evidence_fail,0,0.9,,triage,0,0.95,,triage,0,0.95,,triage,0,0.9,,triage,0,0.2,"tools to facilitate private investment include financial incentives, scholarships, schemes to promote the donation of equipment",verify,0,0.9,,triage
English,nep_counted_llm_rag_full.dta,405.0,National Education Strategic Plan (2015-2020) draft (NESP III),Afghanistan,Low income,2014,http://planipolis.iiep.unesco.org/en/2014/national-education-strategic-plan-2015-2020-draft-nesp-iii-5931,1,0,0.9,,triage,0,0.9,,triage,0,0.1,,verify,0,0.9,,triage,1,0.95,the curriculum development department will develop curriculum and learning materials for early childhood education,verify,0,0.0,,verify_evidence_fail,0,0.5,the moe will provide scholarships for the academic members of the department to study abroad,verify,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,474.0,National Education Strategic Plan (2017-2021),Afghanistan,Low income,2016,http://planipolis.iiep.unesco.org/en/2016/national-education-strategic-plan-2017-2021-6274,1,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.8,,triage,0,0.9,,triage
English,nep_counted_llm_rag_full.dta,127.0,Environmental and social management framework EQRA  Project,Afghanistan,Low income,2018,http://planipolis.iiep.unesco.org/en/2018/environmental-and-social-management-framework-eqra-project-6574,1,0,0.9,,triage,1,1.0,teachers for grades three to six will receive intensive instruction on using scripted lessons in teaching reading and math this involves providing lesson plans with a high degree of scripting,verify,0,0.5,schools may need to make provision for special tutoring bridging and remedial lessons for out of school children that are reentering school,verify,0,0.9,,triage,0,0.8,,triage,1,0.95,c transport facilities for students particularly female students and female teachers between homes and schools to ensure better access for students,verify,0,1.0,,triage,0,0.9,,triage
English,nep_counted_llm_rag_full.dta,414.0,Alternate education service delivery COVID-19: emergency response plan,Afghanistan,Low income,2020,http://planipolis.iiep.unesco.org/en/2020/alternate-education-service-delivery-covid-19-emergency-response-plan-6900,1,0,0.9,,triage,1,0.95,teacher will be provided with hard copies of the mentioned training material in schools and these material will be available online in moe website as well,verify,0,0.2,alternative learning mechanism options with the available resources the ministry of education of afghanistan is considering 3 alternative learning options a self learning b distance learning c small group learning,verify,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage
English,nep_counted_llm_rag_full.dta,410.0,Alternative Education Plan,Afghanistan,Low income,2020,http://planipolis.iiep.unesco.org/en/2020/alternative-education-plan-6979,1,0,1.0,,triage,1,0.9,self learning guideline and self learning materials have been prepared • broadcasting schedule has been prepared • audio visual learning materials,verify,0,0.2,,verify,0,0.9,,triage,0,0.8,,triage,0,0.9,,triage,0,1.0,,triage,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,431.0,Annual Operational Plan 2020/1399,Afghanistan,Low income,2020,http://planipolis.iiep.unesco.org/en/2020/annual-operational-plan-20201399-7014,1,0,0.9,,triage,1,0.8,development of textbooks teacher of mathematics science and language for grades 1 4 7 guides writing editing designing,verify,0,0.9,,triage,0,1.0,,triage,1,0.95,1 1 5 develop national standards for pre school education,verify,0,0.15,3 16 3 transportation cost moe 10 713 600 10 713 600 afg 270898 artf ida eqra,verify,0,1.0,,triage,0,0.9,,triage
English,nep_counted_llm_rag_full.dta,109.0,MoE gender base violence action plan,Afghanistan,Low income,2020,http://planipolis.iiep.unesco.org/en/2020/moe-gender-base-violence-action-plan-7093,1,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage,0,0.9,,triage,0,0.5,explore society and moe on the route practices in afghanistan and globally to relevant directorates between enhance safety on the way to from school and home school establish a mechanism for providing a safe general education gov security medium 4 6 financial and technical route between school and home for authorities local months students and school staff,verify,0,1.0,,triage,0,0.9,,triage
English,nep_counted_llm_rag_full.dta,185.0,Afghanistan Education Sector Transitional Framework,Afghanistan,Low income,2022,http://planipolis.iiep.unesco.org/en/2022/afghanistan-education-sector-transitional-framework,1,0,0.9,,triage,0,0.9,,triage,1,0.95,the standard approach to standardized approach to learning ‘catch up’ catch up classes does not need to be grade specific but rather should guide the teacher to select core content,verify,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.6,provision of scholarships and financial support packages to public and private university students,verify,0,0.0,,verify_evidence_fail
English,nep_counted_llm_rag_full.dta,86.0,Albania National Education Strategy 2004-2015,Albania,Upper middle income,2005,http://planipolis.iiep.unesco.org/en/2005/albania-national-education-strategy-2004-2015-4295,1,0,0.9,,triage,0,0.0,,verify_evidence_fail,0,1.0,,triage,0,1.0,,triage,0,0.9,,triage,0,1.0,,triage,1,0.95,merit based incentive schemes to attract and retain high quality teachers,verify,0,1.0,,triage
