year_num,n_docs,n_hit,pct,topic,pct_ma3
2000,6.0,0.0,0.0,Learning crisis,0.0
2001,6.0,0.0,0.0,Learning crisis,0.0
2002,4.0,0.0,0.0,Learning crisis,0.0
2003,9.0,0.0,0.0,Learning crisis,0.0
2004,18.0,0.0,0.0,Learning crisis,0.0
2005,25.0,0.0,0.0,Learning crisis,0.0
2006,23.0,0.0,0.0,Learning crisis,0.0
2007,28.0,0.0,0.0,Learning crisis,0.0
2008,22.0,0.0,0.0,Learning crisis,0.0
2009,20.0,0.0,0.0,Learning crisis,0.0
2010,23.0,0.0,0.0,Learning crisis,0.0
2011,21.0,0.0,0.0,Learning crisis,0.0
2012,34.0,0.0,0.0,Learning crisis,0.0
2013,31.0,0.0,0.0,Learning crisis,0.0
2014,20.0,0.0,0.0,Learning crisis,0.0
2015,22.0,0.0,0.0,Learning crisis,0.0
2016,22.0,0.0,0.0,Learning crisis,0.0
2017,20.0,0.0,0.0,Learning crisis,0.0
2018,24.0,0.0,0.0,Learning crisis,0.9803921568627452
2019,34.0,1.0,2.9411764705882355,Learning crisis,3.512037726482998
2020,79.0,6.0,7.594936708860759,Learning crisis,7.08346629791157
2021,28.0,3.0,10.714285714285714,Learning crisis,8.769740807715491
2022,25.0,2.0,8.0,Learning crisis,8.321428571428571
2023,16.0,1.0,6.25,Learning crisis,10.305555555555555
2024,12.0,2.0,16.666666666666668,Learning crisis,15.972222222222223
2025,8.0,2.0,25.0,Learning crisis,20.833333333333336
2000,6.0,0.0,0.0,FLN / explicit equivalents,5.555555555555556
2001,6.0,1.0,16.666666666666668,FLN / explicit equivalents,5.555555555555556
2002,4.0,0.0,0.0,FLN / explicit equivalents,5.555555555555556
2003,9.0,0.0,0.0,FLN / explicit equivalents,0.0
2004,18.0,0.0,0.0,FLN / explicit equivalents,0.0
2005,25.0,0.0,0.0,FLN / explicit equivalents,0.0
2006,23.0,0.0,0.0,FLN / explicit equivalents,0.0
2007,28.0,0.0,0.0,FLN / explicit equivalents,0.0
2008,22.0,0.0,0.0,FLN / explicit equivalents,0.0
2009,20.0,0.0,0.0,FLN / explicit equivalents,0.0
2010,23.0,0.0,0.0,FLN / explicit equivalents,0.0
2011,21.0,0.0,0.0,FLN / explicit equivalents,0.9803921568627452
2012,34.0,1.0,2.9411764705882355,FLN / explicit equivalents,3.130929791271347
2013,31.0,2.0,6.451612903225806,FLN / explicit equivalents,3.130929791271347
2014,20.0,0.0,0.0,FLN / explicit equivalents,2.150537634408602
2015,22.0,0.0,0.0,FLN / explicit equivalents,0.0
2016,22.0,0.0,0.0,FLN / explicit equivalents,1.6666666666666667
2017,20.0,1.0,5.0,FLN / explicit equivalents,1.6666666666666667
2018,24.0,0.0,0.0,FLN / explicit equivalents,4.6078431372549025
2019,34.0,3.0,8.823529411764707,FLN / explicit equivalents,4.206999255398362
2020,79.0,3.0,3.7974683544303796,FLN / explicit equivalents,10.159380207779314
2021,28.0,5.0,17.857142857142858,FLN / explicit equivalents,12.551537070524413
2022,25.0,4.0,16.0,FLN / explicit equivalents,13.36904761904762
2023,16.0,1.0,6.25,FLN / explicit equivalents,15.75
2024,12.0,3.0,25.0,FLN / explicit equivalents,14.583333333333334
2025,8.0,1.0,12.5,FLN / explicit equivalents,18.75
